,movies_title,movies_genre,movies_year,production_country,movies_imdb_rating,movies_runtime,movie_link
0, Maharaja (2024),"Action & Adventure, Crime, Drama, Mystery & Thriller",2024,India,8.7  (29k),2h 30min,https://www.justwatch.com/in/movie/maharaja-2024
1, Kalki 2898 AD (2024),"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure, Fantasy",2024,India,8.7  (29k),3h 1min,https://www.justwatch.com/in/movie/project-k
2, Kill (2024),"Mystery & Thriller, Action & Adventure, Crime, Drama",2024,"India, United States",8.7  (29k),1h 45min,https://www.justwatch.com/in/movie/kill-2024
3, Munjya (2024),"Comedy, Horror",2024,India,8.7  (29k),2h 3min,https://www.justwatch.com/in/movie/munjha
4," The Gangster, the Cop, the Devil (2019)","Crime, Action & Adventure, Mystery & Thriller",2019,South Korea,6.9  (24k),1h 50min,https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
5, Family Star (2024),"Action & Adventure, Drama, Comedy, Romance",2024,India,5.3  (4k),2h 39min,https://www.justwatch.com/in/movie/family-star
6, The Goat Life (2024),Drama,2024,"India, United States",8.2  (11k),2h 51min,https://www.justwatch.com/in/movie/aadujeevitham
7, Aavesham (2024),"Comedy, Action & Adventure",2024,India,7.9  (16k),2h 38min,https://www.justwatch.com/in/movie/aavesham-2024
8, Furiosa: A Mad Max Saga (2024),"Action & Adventure, Science-Fiction, Mystery & Thriller",2024,"Australia, United States",7.9  (16k),2h 28min,https://www.justwatch.com/in/movie/furiosa
9, The Fall Guy (2024),"Action & Adventure, Comedy, Drama, Romance",2024,"United States, Australia, Canada",7.9  (16k),2h 6min,https://www.justwatch.com/in/movie/the-fall-guy
10, Garudan (2024),"Crime, Mystery & Thriller, Action & Adventure",2024,India,7.2  (2k),2h 13min,https://www.justwatch.com/in/movie/garudan-2024
11, Kingdom of the Planet of the Apes (2024),"Science-Fiction, Action & Adventure, Drama, Mystery & Thriller",2024,United States,7.2  (2k),2h 25min,https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes
12, Maharshi (2019),"Action & Adventure, Drama",2019,India,7.2  (9k),2h 56min,https://www.justwatch.com/in/movie/maharshi
13, Srikanth (2024),Drama,2024,India,7.5  (10k),2h 14min,https://www.justwatch.com/in/movie/sri-2023
14, Deadpool & Wolverine (2024),"Action & Adventure, Comedy, Science-Fiction",2024,United States,7.5  (10k),2h 8min,https://www.justwatch.com/in/movie/deadpool-3
15, Harom Hara (2024),"Action & Adventure, Crime, Drama",2024,India,8.3  (2k),2h 34min,https://www.justwatch.com/in/movie/harom-hara
