,Title,Year,Genre,Rating,Production Country,Stream Service,Runtime,Url
0, Mirzapur (2018),2018,"Drama, Action & Adventure, Crime, Mystery & Thriller",8.5  (86k),India,Amazon Prime Video,50min,https://www.justwatch.com/in/tv-show/mirzapur
1, House of the Dragon (2022),2022,"Drama, Action & Adventure, Science-Fiction, Fantasy, Romance",8.4  (420k),United States,Jio Cinema,1h 6min,https://www.justwatch.com/in/tv-show/house-of-the-dragon
2, The Boys (2019),2019,"Science-Fiction, Action & Adventure, Comedy, Crime, Drama",8.7  (701k),United States,Amazon Prime Video,1h 1min,https://www.justwatch.com/in/tv-show/the-boys
3, Panchayat (2020),2020,"Comedy, Drama",9.0  (95k),India,Amazon Prime Video,35min,https://www.justwatch.com/in/tv-show/panchayat
4, Sweet Home (2020),2020,"Science-Fiction, Drama, Fantasy, Horror, Mystery & Thriller",7.3  (33k),South Korea,Netflix,58min,https://www.justwatch.com/in/tv-show/sweet-home
5, Game of Thrones (2011),2011,"Drama, Fantasy, Action & Adventure, Science-Fiction",9.2  (2m),"United States, United Kingdom",Jio Cinema,58min,https://www.justwatch.com/in/tv-show/game-of-thrones
6, Demon Slayer: Kimetsu no Yaiba (2019),2019,"Animation, Action & Adventure, Science-Fiction, Fantasy, Mystery & Thriller",8.6  (160k),Japan,Crunchyroll,26min,https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba
7, Apharan (2018),2018,"Drama, Action & Adventure, Crime, Mystery & Thriller",8.2  (20k),India,"Jio Cinema,Alt Balaji",24min,https://www.justwatch.com/in/tv-show/apharan
8, Shōgun (2024),2024,"War & Military, Drama, History",8.7  (157k),United States,Hotstar,59min,https://www.justwatch.com/in/tv-show/shogun-2024
9, The Bear (2022),2022,"Drama, Comedy",8.6  (234k),United States,Hotstar,34min,https://www.justwatch.com/in/tv-show/the-bear
10, Evil (2019),2019,"Crime, Drama, Horror, Mystery & Thriller",7.8  (38k),United States,Jio Cinema,49min,https://www.justwatch.com/in/tv-show/evil
11, Kota Factory (2019),2019,"Drama, Comedy",9.0  (84k),India,Netflix,43min,https://www.justwatch.com/in/tv-show/kota-factory
12, Gullak (2019),2019,"Comedy, Drama, Kids & Family",9.1  (23k),India,Sony Liv,30min,https://www.justwatch.com/in/tv-show/gullak
13, Presumed Innocent (2024),2024,"Drama, Crime, Mystery & Thriller",7.8  (25k),United States,Apple TV Plus,43min,https://www.justwatch.com/in/tv-show/presumed-innocent
14, Bigg Boss OTT (2021),2021,Reality TV,7.8  (25k),India,Jio Cinema,1h 30min,https://www.justwatch.com/in/tv-show/bigg-boss-ott
15, Tribhuvan Mishra CA Topper (2024),2024,"Mystery & Thriller, Comedy, Crime, Drama",7.1  (1k),India,Netflix,57min,https://www.justwatch.com/in/tv-show/tribhuvan-mishra-ca-topper
16, Y: The Last Man (2021),2021,"Science-Fiction, Action & Adventure, Drama",7.1  (1k),United States,NaN,51min,https://www.justwatch.com/in/tv-show/y-the-last-man
17, Mastram (2020),2020,"Drama, Comedy, Fantasy",7.1  (1k),India,NaN,28min,https://www.justwatch.com/in/tv-show/mastram
18, Attack on Titan (2013),2013,"Drama, Fantasy, Horror, Animation, Action & Adventure, Science-Fiction",9.1  (526k),Japan,Amazon Prime Video,25min,https://www.justwatch.com/in/tv-show/attack-on-titan
19, Money Heist (2017),2017,"Drama, Mystery & Thriller, Action & Adventure, Crime, Made in Europe",8.2  (540k),Spain,Netflix,50min,https://www.justwatch.com/in/tv-show/paperhouse
20, XXX: Uncensored (2018),2018,"Comedy, Drama, Romance",4.8,India,Alt Balaji,22min,https://www.justwatch.com/in/tv-show/x-x-x-uncensored
21, Breaking Bad (2008),2008,"Drama, Crime, Mystery & Thriller",9.5  (2m),United States,Netflix,47min,https://www.justwatch.com/in/tv-show/breaking-bad
22, Aashram (2020),2020,"Drama, Crime, Mystery & Thriller",9.5  (2m),India,MX Player,43min,https://www.justwatch.com/in/tv-show/aashram
23, Elite (2018),2018,"Crime, Drama, Mystery & Thriller",7.2  (92k),Spain,Netflix,49min,https://www.justwatch.com/in/tv-show/elite
24, Raising Voices (2024),2024,Drama,7.2  (3k),Spain,Netflix,46min,https://www.justwatch.com/in/tv-show/raising-voices
25, Stranger Things (2016),2016,"Mystery & Thriller, Action & Adventure, Drama, Science-Fiction, Horror, Fantasy",8.7  (1m),United States,Netflix,1h 1min,https://www.justwatch.com/in/tv-show/stranger-things
26, Bigg Boss (2006),2006,"Reality TV, Kids & Family",8.7  (1m),India,NaN,1h 16min,https://www.justwatch.com/in/tv-show/bigg-boss
27, The Rookie (2018),2018,"Drama, Comedy, Crime, Action & Adventure",8.7  (1m),United States,NaN,43min,https://www.justwatch.com/in/tv-show/the-rookie
28, Bridgerton (2020),2020,"Drama, Romance",7.4  (189k),United States,Netflix,1h 1min,https://www.justwatch.com/in/tv-show/bridgerton
29, Fallout (2024),2024,"Science-Fiction, War & Military, Action & Adventure, Drama, Mystery & Thriller",8.4  (234k),United States,Amazon Prime Video,59min,https://www.justwatch.com/in/tv-show/fallout
30, Asur: Welcome to Your Dark Side (2020),2020,"Crime, Drama, Mystery & Thriller",8.5  (66k),India,Jio Cinema,47min,https://www.justwatch.com/in/tv-show/asur
31, College Romance (2018),2018,"Drama, Comedy, Romance",8.3  (28k),India,Sony Liv,31min,https://www.justwatch.com/in/tv-show/college-romance
32, 3 Body Problem (2024),2024,"Science-Fiction, Drama, Fantasy",7.5  (133k),United States,Netflix,56min,https://www.justwatch.com/in/tv-show/3-body-problem
33, 36 Days (2024),2024,Mystery & Thriller,4.6,India,Sony Liv,37min,https://www.justwatch.com/in/tv-show/36-days
34, Cobra Kai (2018),2018,"Comedy, Drama, Sport, Action & Adventure",8.5  (208k),United States,Netflix,34min,https://www.justwatch.com/in/tv-show/cobra-kai
35, Dark (2017),2017,"Drama, Science-Fiction, Mystery & Thriller, Crime",8.7  (454k),Germany,Netflix,56min,https://www.justwatch.com/in/tv-show/dark
36, Those About to Die (2024),2024,"Comedy, Drama, Action & Adventure",6.5  (7k),"Germany, Italy, United States",Amazon Prime Video,53min,https://www.justwatch.com/in/tv-show/those-about-to-die
37, The Good Doctor (2017),2017,Drama,8.0  (117k),United States,Amazon Prime Video,43min,https://www.justwatch.com/in/tv-show/the-good-doctor
38, The Flash (2014),2014,"Drama, Science-Fiction, Action & Adventure",7.5  (370k),United States,Amazon Prime Video,45min,https://www.justwatch.com/in/tv-show/the-flash
